Month/Year,Nepali R/ 1 USD
Jan-2023,130.451
Feb- 2023,132.454
March-2023,132.106
April-2023,131.266
May-2023,131.737
June-2023,131.138
July-2023,131.41
August-2023,133.04
September-2023,133.273
October-2023,133.182
November-2023,133.367
December-2023,132.866
January-2024,132.655
Febuary-2024,132.883
March-2024,132.717
April-2024,133.926
May-2024,133.318
June-2024,133.676
July-2024,133.963
August-2024,134.37
September-2024,133.836
October-2024,134.525
November-2024,135.187
December-2024,135.784
